[2023-05-12 10:17:59:0106] | GigEVisionManager.cpp-L0272: driver mode start!
[2023-05-12 10:17:59:0106] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2023-05-12 10:17:59:0107] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:17:59:0107] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:17:59:0107] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[a9fec2ce], hostPort[56042], devIP[a9fe4140]
[2023-05-12 10:17:59:0108] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fec2ce], m_nUpDevIP[a9fe4140]
[2023-05-12 10:17:59:0108] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:17:59:0110] | GigEVisionManager.cpp-L2769: event thread start...
[2023-05-12 10:17:59:0590] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:17:59:0811] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2023-05-12 10:17:59:0813] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[11616]
[2023-05-12 10:18:56:0366] | GigEVisionManager.cpp-L2308: AppGetCount[1056], AppGetCountSucceed[1053], ExpectRecv[1053], NetRecv[1053], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:18:56:0479] | GigEVisionManager.cpp-L2308: AppGetCount[1056], AppGetCountSucceed[1053], ExpectRecv[1053], NetRecv[1053], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:18:56:0479] | GigEVisionManager.cpp-L0898: disconnect device ...
[2023-05-12 10:18:56:0481] | GigEVisionManager.cpp-L2840: event thread stop
[2023-05-12 10:18:56:0493] | GigEVisionManager.cpp-L2308: AppGetCount[1056], AppGetCountSucceed[1053], ExpectRecv[1053], NetRecv[1053], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
